Month|Views of page Abkhazia|Views of page Afghanistan|Views of page Albania|Views of page Algeria|Views of page Andorra|Views of page Angola|Views of page Antigua and Barbuda|Views of page Argentina|Views of page Armenia|Views of page Australia|Views of page Austria|Views of page Azerbaijan|Views of page Bahrain|Views of page Bangladesh|Views of page Barbados|Views of page Belarus|Views of page Belgium|Views of page Belize|Views of page Benin|Views of page Bhutan|Views of page Bolivia|Views of page Bosnia and Herzegovina|Views of page Botswana|Views of page Brazil|Views of page Brunei|Views of page Bulgaria|Views of page Burkina Faso|Views of page Burma|Views of page Burundi|Views of page Cambodia|Views of page Cameroon|Views of page Canada|Views of page Cape Verde|Views of page Central African Republic|Views of page Chad|Views of page Chile|Views of page China|Views of page Colombia|Views of page Comoros|Views of page Cook Islands|Views of page Costa Rica|Views of page Croatia|Views of page Cuba|Views of page Cyprus|Views of page Czech Republic|Views of page Democratic Republic of the Congo|Views of page Denmark|Views of page Djibouti|Views of page Dominica|Views of page Dominican Republic|Views of page East Timor|Views of page Ecuador|Views of page Egypt|Views of page El Salvador|Views of page Equatorial Guinea|Views of page Eritrea|Views of page Estonia|Views of page Ethiopia|Views of page Federated States of Micronesia|Views of page Fiji|Views of page Finland|Views of page France|Views of page Gabon|Views of page Georgia|Views of page Georgia (country)|Views of page Germany|Views of page Greece|Views of page Grenada|Views of page Guatemala|Views of page Guinea|Views of page Guinea-Bissau|Views of page Guyana|Views of page Haiti|Views of page Honduras|Views of page Hungary|Views of page Iceland|Views of page India|Views of page Indonesia|Views of page Iran|Views of page Iraq|Views of page Ireland|Views of page Israel|Views of page Italy|Views of page Jamaica|Views of page Japan|Views of page Jordan|Views of page Kazakhstan|Views of page Kenya|Views of page Kiribati|Views of page Kosovo|Views of page Kuwait|Views of page Kyrgyzstan|Views of page Laos|Views of page Latvia|Views of page Lebanon|Views of page Lesotho|Views of page Liberia|Views of page Libya|Views of page Liechtenstein|Views of page Lithuania|Views of page Luxembourg|Views of page Macedonia|Views of page Madagascar|Views of page Malawi|Views of page Malaysia|Views of page Maldives|Views of page Mali|Views of page Malta|Views of page Marshall Islands|Views of page Mauritania|Views of page Mauritius|Views of page Mexico|Views of page Moldova|Views of page Monaco|Views of page Mongolia|Views of page Montenegro|Views of page Morocco|Views of page Mozambique|Views of page Nagorno-Karabakh|Views of page Namibia|Views of page Nauru|Views of page Nepal|Views of page Netherlands|Views of page New Zealand|Views of page Nicaragua|Views of page Niger|Views of page Nigeria|Views of page Niue|Views of page North Korea|Views of page Northern Cyprus|Views of page Norway|Views of page Oman|Views of page Pakistan|Views of page Palau|Views of page Palestine|Views of page Panama|Views of page Papua New Guinea|Views of page Paraguay|Views of page Peru|Views of page Philippines|Views of page Poland|Views of page Portugal|Views of page Qatar|Views of page Romania|Views of page Russia|Views of page Rwanda|Views of page Sahrawi Arab Democratic Republic|Views of page Saint Kitts and Nevis|Views of page Saint Lucia|Views of page Saint Vincent and the Grenadines|Views of page Samoa|Views of page San Marino|Views of page Saudi Arabia|Views of page São Tomé and Príncipe|Views of page Senegal|Views of page Serbia|Views of page Seychelles|Views of page Sierra Leone|Views of page Singapore|Views of page Slovakia|Views of page Slovenia|Views of page Solomon Islands|Views of page Somalia|Views of page Somaliland|Views of page South Africa|Views of page South Korea|Views of page South Ossetia|Views of page South Sudan|Views of page Spain|Views of page Sri Lanka|Views of page Sudan|Views of page Swaziland|Views of page Sweden|Views of page Switzerland|Views of page Syria|Views of page Taiwan|Views of page Tajikistan|Views of page Tanzania|Views of page Thailand|Views of page The Bahamas|Views of page The Gambia|Views of page Togo|Views of page Tonga|Views of page Transnistria|Views of page Trinidad and Tobago|Views of page Tunisia|Views of page Turkey|Views of page Turkmenistan|Views of page Tuvalu|Views of page Uganda|Views of page Ukraine|Views of page United Arab Emirates|Views of page United Kingdom|Views of page United States|Views of page Uruguay|Views of page Uzbekistan|Views of page Vanuatu|Views of page Vatican City|Views of page Venezuela|Views of page Vietnam|Views of page Yemen|Views of page Zambia|Views of page Zimbabwe|Total|Percentage
201608|17824|96668|86454|71114|106087|57090|21156|122319|92496|277026|87098|122810|147924|163757|74883|115312|95240|101329|42582|82927|51736|67449|45823|506349|85517|75411|48830|16235|34050|80487|36275|277803|98802|27048|28110|64771|255237|87294|39292|44107|71864|121009|117775|120200|95887|68937|124148|61441|40974|96597|40001|49229|107383|40907|35571|86241|74201|108286|25519|212413|81544|149965|41356|5882|132211|208043|97913|102926|39161|30594|16951|73160|65413|48801|93684|147886|552018|147414|116044|56464|106186|178848|140294|256903|237627|69218|136458|76308|94278|138967|66164|61278|52644|69235|83996|37544|61064|52534|71098|75032|76157|11037|63949|38078|142571|139476|31666|114812|34857|35074|149276|137417|56497|98472|93908|172964|115239|42441|9502|46315|72286|113386|195897|181851|37844|30531|124329|15589|217454|15159|117360|59332|254506|55651|61539|57636|54892|29509|55619|197431|97828|98382|148197|110484|235139|32454|8699|29810|48732|15871|42798|60529|129741|20253|47799|171669|77604|44408|271904|49640|69627|23813|67462|18063|192585|153075|9577|46900|145088|120517|45507|31232|116694|163456|121379|147113|43718|65490|118724|73973|28970|19835|98302|17926|79568|54278|151154|40736|57076|45156|91059|138354|332578|690600|46650|101489|41470|78396|77562|104826|53190|40503|63415|19450947|8.1
201607|18317|97083|86989|84203|88821|47384|17077|100630|106745|256193|90285|79059|69221|299837|66331|71706|129779|85051|30049|76574|44574|62640|30523|159907|60858|72612|27300|14085|21395|80703|32742|288817|86038|18031|22411|60930|224635|77512|16790|19840|64291|112948|76358|106956|95004|67760|116965|29818|36855|91817|33694|45807|111419|37127|25153|60719|66764|91166|17261|76434|85872|228708|38151|5799|115119|238605|95214|48071|36413|32126|26872|67643|56088|32157|76513|467941|525535|140573|110313|72014|126836|185119|143000|97140|215324|68193|93518|65358|23569|68269|65109|50329|49590|59902|87570|27142|54930|60813|56549|56968|78711|8166|62170|37258|132248|150695|33258|127858|31234|29738|130743|128217|47024|114622|115457|111974|112537|55283|6657|41050|25509|112383|155673|189791|33641|25216|113057|16265|121066|17131|122925|55531|225748|27615|39836|54491|49548|22858|52561|200794|110380|208442|103273|92084|205383|33366|10311|22204|47406|13285|37752|37656|147077|18156|38337|82682|67615|37939|213158|53263|133407|19704|58398|10948|164365|105306|8763|77499|143819|117643|59201|24222|115753|168278|100739|131712|32085|75710|117483|66430|28684|17141|36244|16810|49422|112952|407010|31775|21512|49036|76925|136452|428891|704757|47184|46406|30750|78077|77177|103140|45777|32508|59666|18009017|7.5
201606|20547|99211|291801|58499|53691|48188|14801|159173|116128|262945|116497|288827|70397|158244|62228|63815|162356|97631|26603|81413|54091|69787|31383|173608|61292|78419|28166|15282|23336|80850|33907|279386|73496|19012|28231|103842|221958|97091|18097|19649|76946|200438|77701|102116|122707|0|128174|31353|29425|96456|30994|0|107634|38167|27470|68367|66785|84202|14117|73098|90788|203153|25188|5928|116536|245929|97362|34953|39336|28782|14725|72388|76093|35860|137479|890314|512892|140866|102063|56983|240938|168258|159055|106626|202669|69992|97760|62990|24616|107884|66270|39261|49436|57946|80930|30628|47369|69090|67555|60009|96944|8772|71634|28954|119291|148209|31670|122872|26595|31080|135142|163535|48075|101282|68122|87571|107201|31570|8958|51056|46080|114087|165453|162083|34016|26477|122580|15980|100902|14388|142435|56564|207698|26221|42056|63740|58168|41351|68596|186772|153270|152159|130974|143488|241738|29912|8827|23889|38931|14654|35995|50729|137832|15693|43670|94152|66142|37311|220681|147689|79765|19968|69163|11716|158163|102418|8578|31948|162733|123392|41773|28751|141309|253501|81057|113567|31579|60257|116622|65525|38711|18704|27717|15532|47039|48623|228316|33903|21167|48251|99846|134824|868993|689518|70143|54519|28347|81014|95467|104274|46277|31084|81051|19463949|8.1
201605|18076|88842|92508|60346|46288|44655|14282|94734|109509|263481|105958|113635|64757|174194|58823|63886|94900|89348|28402|95788|47937|58633|33151|162314|55953|67260|29957|15293|26194|80839|37210|294847|61167|17553|28468|62689|223287|79369|16199|20667|72428|96821|99725|100262|94789|0|111704|30495|29462|0|29059|56917|120572|43875|40579|67567|60183|90567|14168|76849|85757|159075|21453|6527|138997|202746|91583|38849|45322|30283|13010|70972|64932|38927|72605|135489|498280|135419|112667|59522|115378|189020|136030|101182|217557|75078|95607|63074|21298|76034|72107|38764|49762|64597|83408|26222|46347|51853|51998|63706|70548|8976|69440|29854|116739|183034|33645|125381|26234|28760|139393|156477|48985|143554|67366|76842|109532|33055|13249|45517|75565|115724|160299|167013|37173|29898|140323|14889|143881|13863|112790|59843|207176|28749|44046|66049|56450|24566|57445|202299|99637|85784|108863|98535|211419|34213|7590|21628|38088|16641|36559|53465|135431|11067|46260|72677|68781|44981|211238|46585|62976|26488|69396|17129|165568|111307|9488|30861|149699|132214|42640|44490|119052|152875|76887|122402|36796|62349|116456|62554|29971|20760|37599|17181|48547|42069|153225|39922|19537|49275|93611|140715|345692|689412|39190|49781|29731|74195|109552|133497|47006|33035|57596|16685648|7
201604|15248|86972|77570|55991|42332|43595|16392|93419|174197|242234|75587|126051|87160|160759|66912|51320|94853|96844|27807|189420|44238|50509|30417|142516|55824|60146|26386|16650|29405|78536|33606|264394|66919|17494|25675|59140|218126|76109|14681|20077|72736|85890|98568|86293|89678|58691|122720|37471|27066|92425|25902|171734|107530|42996|22593|64304|48725|88986|24121|69532|72201|141292|20660|5741|109616|187826|87337|37523|44154|19540|10416|70220|61847|35657|62947|182227|469976|131198|102648|54039|114280|169192|120900|113871|218516|70045|86010|61045|22131|55712|67355|32455|47922|53023|85789|24549|43309|48448|45831|50929|65096|9040|67753|28253|110122|135946|32775|100194|24726|26653|121083|134127|41847|95068|65390|62627|99949|32561|62447|47992|26935|109764|139913|162347|36925|26975|118010|22730|137791|12250|98309|56903|205740|27890|42887|169266|57055|21951|58770|172185|88440|76560|109780|85828|185361|33214|6631|20811|42088|13411|34162|29609|156549|10189|32346|63055|63689|40717|200542|40735|48277|21823|52957|11126|160432|112278|9237|34386|129478|120026|43320|26026|106281|127403|77711|108810|28434|61417|110150|66764|23830|17135|31056|17243|57575|39869|136114|34796|19097|45382|77493|149094|324009|653500|38229|44143|49340|74043|71577|108891|48062|33319|53999|16037943|6.7
201603|14731|108330|79425|58287|48861|47585|15194|106030|94014|259640|81782|69828|68109|223063|68856|53612|399231|87954|34928|112356|48274|61775|29987|145536|61635|66940|33162|14924|41885|79742|33109|288770|72838|18727|23585|60399|214276|80470|17421|20949|78448|84548|221099|134915|80193|60483|124482|35603|27498|96072|27396|51986|117560|41672|21422|63994|65899|87988|14204|68574|78495|146636|22155|6287|87913|202199|87838|39283|47130|24154|12880|65562|58535|41262|65915|148468|508615|135356|111040|64545|173773|184776|124945|109285|204954|74350|96220|59660|21726|62110|73941|41358|48315|50206|88106|26925|51607|47217|51537|55274|83437|11116|62198|28672|113470|146349|30856|105885|34145|28483|117404|137273|41788|78895|66599|65332|109863|47512|4839|53668|21499|113094|165159|203305|38379|29874|119591|14615|191952|13129|106117|117714|252426|31039|53397|53869|47253|24064|56253|167145|89894|78935|113304|88412|196946|34105|8862|24316|41043|15890|41353|33210|142090|12539|34597|68264|69356|44378|209700|45458|59473|19928|57067|11364|174151|116321|8119|41604|124689|137130|49781|25825|108958|145979|112631|114491|45274|62016|113611|65774|26657|18343|28298|18538|51204|42529|165700|29900|19873|48310|74549|184541|329749|672844|43507|47324|25071|82728|65308|120391|61031|33813|60561|16976074|7.1
201602|13880|83917|79895|56702|57711|45683|13653|92391|100414|239174|81407|68499|73078|170708|64428|47954|87132|100132|28204|86366|50042|48051|29810|135252|62370|60326|35163|14544|51449|78600|32160|254002|78039|19011|23280|58984|212649|86760|20462|19796|75977|69567|104739|94702|70970|56714|114583|32801|25577|94863|26799|51262|114483|38067|19608|113800|54575|89557|13657|123376|77146|134128|20102|5783|80954|185961|79501|36313|43268|19788|10245|63810|61372|34490|62157|139723|495572|123981|114498|65301|115456|157023|119076|97824|194631|75240|86643|58532|19493|65634|119786|31584|47885|49217|85288|28168|48246|54108|47958|54203|69543|8271|66653|29536|111490|158177|32754|108775|30806|24147|118939|136130|43520|76015|68391|64903|106438|32375|5040|54491|41775|115194|131445|175113|36480|28788|121109|11894|168932|11534|106060|68639|214287|31002|39589|50972|46527|20583|52114|165577|87806|73799|113785|80200|194298|34903|6503|19070|43638|12142|37727|30622|141845|11362|35145|61542|61766|42368|204677|39341|56195|21625|61822|12101|165288|108945|7897|27540|117542|141965|40999|25389|104722|135580|129865|160111|27979|69769|113304|68295|25918|17387|32568|16775|49379|40916|150733|33608|17596|58595|73527|185347|318272|637799|38644|42403|26166|119899|73332|112565|47746|31948|59341|15881787|6.6
201601|15335|104958|77408|61755|55707|48153|16548|104792|101820|310708|95739|73257|96788|166311|67574|65640|98665|125235|33013|93534|48149|52815|32910|148242|63827|73628|358758|20109|34275|86285|36199|286493|93589|21037|25004|64366|229648|107630|19193|23262|88758|100836|104096|90661|80266|56953|125399|45112|28614|112565|29449|54392|117276|47213|21959|137155|52696|95109|15012|79754|91519|151157|26446|6072|92086|209940|84584|51268|51119|22782|11606|71204|68080|44465|69491|165629|565563|168900|205782|87099|117866|202618|124653|103792|211252|88950|90691|64074|28622|71410|194771|40276|56828|57727|95623|28924|52758|56204|50480|60018|75119|8414|82213|28659|124199|197550|37559|114749|34258|28926|122546|153785|47665|97540|80545|65106|121759|36643|5709|45067|25596|125601|143374|195901|41717|28691|124087|13712|249358|12170|116638|76257|243568|33729|46575|57597|55869|24816|58508|186244|98935|79712|153530|91719|215739|41140|7424|22593|47626|14113|43134|31795|231117|12825|41773|79197|68308|50791|238632|43523|47327|29163|63978|11623|167956|127020|7963|28505|131746|136607|46913|29201|120387|148743|119655|188867|45165|67142|127741|72256|42830|20092|41050|15854|49904|48679|161807|39754|21094|51984|76706|205070|352530|705662|41324|48032|34072|77791|71259|126256|61201|32721|57227|18246465|7.6
