Week,Bruno Mars: (Worldwide),Nicki Minaj: (Worldwide)
2011-09-24,31,24
2011-10-01,29,25
2011-10-08,27,31
2011-10-15,25,31
2011-10-22,29,28
2011-10-29,25,30
2011-11-05,31,29
2011-11-12,31,24
2011-11-19,34,29
2011-11-26,31,27
2011-12-03,29,26
2011-12-10,27,23
2011-12-17,27,26
2011-12-24,28,31
2011-12-31,25,28
2012-01-07,23,22
2012-01-14,24,24
2012-01-21,26,28
2012-01-28,24,29
2012-02-04,23,34
2012-02-11,39,63
2012-02-18,24,34
2012-02-25,20,31
2012-03-03,19,26
2012-03-10,19,29
2012-03-17,18,32
2012-03-24,16,34
2012-03-31,18,45
2012-04-07,15,44
2012-04-14,14,39
2012-04-21,14,37
2012-04-28,13,40
2012-05-05,13,37
2012-05-12,13,41
2012-05-19,12,38
2012-05-26,14,35
2012-06-02,12,36
2012-06-09,12,33
2012-06-16,12,32
2012-06-23,11,32
2012-06-30,11,36
2012-07-07,10,34
2012-07-14,11,30
2012-07-21,10,28
2012-07-28,9,30
2012-08-04,9,33
2012-08-11,9,32
2012-08-18,9,32
2012-08-25,9,29
2012-09-01,9,39
2012-09-08,9,34
2012-09-15,9,29
2012-09-22,9,26
2012-09-29,11,37
2012-10-06,11,28
2012-10-13,12,31
2012-10-20,23,31
2012-10-27,15,31
2012-11-03,16,30
2012-11-10,16,30
2012-11-17,17,38
2012-11-24,19,30
2012-12-01,24,28
2012-12-08,28,25
2012-12-15,28,24
2012-12-22,30,29
2012-12-29,25,29
2013-01-05,22,25
2013-01-12,22,38
2013-01-19,25,31
2013-01-26,25,26
2013-02-02,25,24
2013-02-09,38,25
2013-02-16,32,27
2013-02-23,35,31
2013-03-02,34,27
2013-03-09,31,29
2013-03-16,30,29
2013-03-23,29,26
2013-03-30,27,31
2013-04-06,27,28
2013-04-13,25,25
2013-04-20,25,22
2013-04-27,24,23
2013-05-04,25,22
2013-05-11,24,21
2013-05-18,25,27
2013-05-25,25,20
2013-06-01,33,18
2013-06-08,24,18
2013-06-15,27,20
2013-06-22,26,20
2013-06-29,25,23
2013-07-06,24,21
2013-07-13,24,19
2013-07-20,24,27
2013-07-27,24,27
2013-08-03,23,21
2013-08-10,24,19
2013-08-17,23,17
2013-08-24,41,17
2013-08-31,25,16
2013-09-07,25,19
2013-09-14,21,15
2013-09-21,22,18
2013-09-28,22,17
2013-10-05,23,15
2013-10-12,26,20
2013-10-19,22,17
2013-10-26,21,21
2013-11-02,22,20
2013-11-09,23,14
2013-11-16,20,14
2013-11-23,18,15
2013-11-30,18,14
2013-12-07,19,17
2013-12-14,17,19
2013-12-21,18,17
2013-12-28,18,17
2014-01-04,17,17
2014-01-11,18,14
2014-01-18,19,13
2014-01-25,29,14
2014-02-01,100,13
2014-02-08,24,21
2014-02-15,21,16
2014-02-22,18,14
2014-03-01,18,16
2014-03-08,18,16
2014-03-15,18,14
2014-03-22,18,13
2014-03-29,16,13
2014-04-05,15,14
2014-04-12,16,16
2014-04-19,15,17
2014-04-26,14,15
2014-05-03,14,14
2014-05-10,14,12
2014-05-17,13,17
2014-05-24,13,15
2014-05-31,14,18
2014-06-07,13,19
2014-06-14,12,15
2014-06-21,12,15
2014-06-28,13,25
2014-07-05,12,17
2014-07-12,13,17
2014-07-19,13,31
2014-07-26,12,36
2014-08-02,12,41
2014-08-09,11,28
2014-08-16,11,75
2014-08-23,11,87
2014-08-30,12,39
2014-09-06,10,40
2014-09-13,10,41
2014-09-20,10,32
2014-09-27,10,33
2014-10-04,11,27
2014-10-11,10,25
2014-10-18,9,25
2014-10-25,9,29
2014-11-01,9,28
2014-11-08,10,39
2014-11-15,11,27
2014-11-22,14,26
2014-11-29,12,27
2014-12-06,14,44
2014-12-13,18,52
2014-12-20,16,43
2014-12-27,18,40
2015-01-03,16,31
2015-01-10,19,29
2015-01-17,19,29
2015-01-24,19,25
2015-01-31,20,26
2015-02-07,18,26
2015-02-14,18,28
2015-02-21,17,22
2015-02-28,16,21
2015-03-07,16,21
2015-03-14,15,22
2015-03-21,16,22
2015-03-28,15,25
2015-04-04,15,24
2015-04-11,14,31
2015-04-18,14,25
2015-04-25,14,20
2015-05-02,13,20
2015-05-09,13,18
2015-05-16,13,33
2015-05-23,12,23
2015-05-30,12,25
2015-06-06,12,23
2015-06-13,11,22
2015-06-20,11,23
2015-06-27,10,29
2015-07-04,10,25
2015-07-11,10,24
2015-07-18,11,40
2015-07-25,10,34
2015-08-01,9,29
2015-08-08,9,29
2015-08-15,9,29
2015-08-22,9,22
2015-08-29,9,68
2015-09-05,9,23
2015-09-12,8,18
2015-09-19,8,18
2015-09-26,8,17
2015-10-03,9,17
2015-10-10,8,19
2015-10-17,8,18
2015-10-24,8,17
2015-10-31,9,17
2015-11-07,8,14
2015-11-14,7,14
2015-11-21,8,20
2015-11-28,7,16
2015-12-05,7,20
2015-12-12,7,19
2015-12-19,7,20
2015-12-26,8,20
2016-01-02,7,16
2016-01-09,7,18
2016-01-16,7,18
2016-01-23,7,15
2016-01-30,8,15
2016-02-06,28,14
2016-02-13,12,14
2016-02-20,9,13
2016-02-27,7,13
2016-03-05,7,13
2016-03-12,7,13
2016-03-19,7,14
2016-03-26,7,13
2016-04-02,7,15
2016-04-09,6,13
2016-04-16,7,13
2016-04-23,7,13
2016-04-30,6,14
2016-05-07,6,13
2016-05-14,7,11
2016-05-21,7,12
2016-05-28,6,11
2016-06-04,6,10
2016-06-11,6,11
2016-06-18,6,12
2016-06-25,5,12
2016-07-02,6,12
2016-07-09,6,11
2016-07-16,6,11
2016-07-23,6,11
2016-07-30,6,12
2016-08-06,6,10
2016-08-13,5,10
2016-08-20,5,10
2016-08-27,5,17
2016-09-03,5,14
2016-09-10,5,15
