Week,Michael Jackson: (Worldwide),Selena Gomez: (Worldwide)
2011-09-24,74,72
2011-10-01,56,74
2011-10-08,67,77
2011-10-15,46,79
2011-10-22,45,76
2011-10-29,49,90
2011-11-05,66,94
2011-11-12,43,81
2011-11-19,41,82
2011-11-26,45,71
2011-12-03,41,74
2011-12-10,41,73
2011-12-17,40,81
2011-12-24,42,84
2011-12-31,38,80
2012-01-07,35,71
2012-01-14,35,71
2012-01-21,38,73
2012-01-28,40,71
2012-02-04,37,73
2012-02-11,49,67
2012-02-18,37,68
2012-02-25,34,70
2012-03-03,33,67
2012-03-10,29,59
2012-03-17,30,56
2012-03-24,30,55
2012-03-31,29,65
2012-04-07,29,60
2012-04-14,28,56
2012-04-21,28,54
2012-04-28,29,54
2012-05-05,29,50
2012-05-12,29,49
2012-05-19,29,56
2012-05-26,29,55
2012-06-02,30,55
2012-06-09,29,55
2012-06-16,32,56
2012-06-23,65,55
2012-06-30,33,56
2012-07-07,29,55
2012-07-14,30,55
2012-07-21,40,67
2012-07-28,31,58
2012-08-04,30,53
2012-08-11,29,53
2012-08-18,30,51
2012-08-25,42,51
2012-09-01,31,51
2012-09-08,28,45
2012-09-15,30,44
2012-09-22,27,42
2012-09-29,27,59
2012-10-06,27,41
2012-10-13,28,39
2012-10-20,31,40
2012-10-27,30,41
2012-11-03,26,47
2012-11-10,26,76
2012-11-17,31,56
2012-11-24,28,42
2012-12-01,27,40
2012-12-08,26,40
2012-12-15,26,42
2012-12-22,31,52
2012-12-29,31,53
2013-01-05,25,47
2013-01-12,25,49
2013-01-19,25,49
2013-01-26,25,46
2013-02-02,28,47
2013-02-09,27,45
2013-02-16,28,45
2013-02-23,26,47
2013-03-02,26,46
2013-03-09,25,53
2013-03-16,25,63
2013-03-23,26,74
2013-03-30,28,59
2013-04-06,26,58
2013-04-13,26,69
2013-04-20,26,63
2013-04-27,28,61
2013-05-04,30,66
2013-05-11,28,66
2013-05-18,28,72
2013-05-25,27,66
2013-06-01,37,69
2013-06-08,32,63
2013-06-15,31,64
2013-06-22,51,64
2013-06-29,34,74
2013-07-06,29,74
2013-07-13,28,79
2013-07-20,28,100
2013-07-27,27,77
2013-08-03,26,68
2013-08-10,28,70
2013-08-17,28,66
2013-08-24,40,80
2013-08-31,27,61
2013-09-07,25,58
2013-09-14,25,54
2013-09-21,26,50
2013-09-28,29,48
2013-10-05,26,48
2013-10-12,25,53
2013-10-19,30,47
2013-10-26,32,49
2013-11-02,25,50
2013-11-09,24,50
2013-11-16,24,45
2013-11-23,27,55
2013-11-30,26,48
2013-12-07,24,47
2013-12-14,25,47
2013-12-21,30,61
2013-12-28,40,70
2014-01-04,28,54
2014-01-11,24,45
2014-01-18,25,54
2014-01-25,24,50
2014-02-01,25,57
2014-02-08,24,47
2014-02-15,25,46
2014-02-22,24,41
2014-03-01,28,47
2014-03-08,25,57
2014-03-15,23,47
2014-03-22,24,49
2014-03-29,29,45
2014-04-05,27,43
2014-04-12,45,45
2014-04-19,40,44
2014-04-26,36,46
2014-05-03,39,40
2014-05-10,49,39
2014-05-17,78,45
2014-05-24,45,42
2014-05-31,39,39
2014-06-07,34,41
2014-06-14,33,42
2014-06-21,57,42
2014-06-28,36,41
2014-07-05,32,63
2014-07-12,32,58
2014-07-19,33,61
2014-07-26,31,55
2014-08-02,32,59
2014-08-09,34,50
2014-08-16,31,46
2014-08-23,39,41
2014-08-30,28,71
2014-09-06,26,37
2014-09-13,26,36
2014-09-20,25,34
2014-09-27,25,34
2014-10-04,25,33
2014-10-11,25,32
2014-10-18,26,32
2014-10-25,29,29
2014-11-01,26,43
2014-11-08,25,42
2014-11-15,26,39
2014-11-22,24,61
2014-11-29,24,40
2014-12-06,24,40
2014-12-13,25,37
2014-12-20,27,42
2014-12-27,29,49
2015-01-03,24,40
2015-01-10,23,42
2015-01-17,23,40
2015-01-24,23,39
2015-01-31,24,37
2015-02-07,25,35
2015-02-14,23,47
2015-02-21,23,40
2015-02-28,24,34
2015-03-07,23,36
2015-03-14,23,36
2015-03-21,24,34
2015-03-28,24,40
2015-04-04,24,37
2015-04-11,22,47
2015-04-18,23,46
2015-04-25,24,38
2015-05-02,23,40
2015-05-09,24,36
2015-05-16,23,37
2015-05-23,25,33
2015-05-30,26,32
2015-06-06,24,31
2015-06-13,24,33
2015-06-20,44,52
2015-06-27,28,47
2015-07-04,25,42
2015-07-11,25,41
2015-07-18,24,44
2015-07-25,26,38
2015-08-01,24,37
2015-08-08,24,36
2015-08-15,24,38
2015-08-22,29,40
2015-08-29,26,48
2015-09-05,23,52
2015-09-12,22,42
2015-09-19,23,45
2015-09-26,23,41
2015-10-03,24,60
2015-10-10,24,61
2015-10-17,26,52
2015-10-24,28,42
2015-10-31,24,40
2015-11-07,24,44
2015-11-14,22,41
2015-11-21,23,66
2015-11-28,23,47
2015-12-05,23,66
2015-12-12,23,55
2015-12-19,25,66
2015-12-26,26,59
2016-01-02,23,52
2016-01-09,26,45
2016-01-16,24,47
2016-01-23,28,54
2016-01-30,26,41
2016-02-06,31,42
2016-02-13,25,49
2016-02-20,25,42
2016-02-27,24,38
2016-03-05,23,43
2016-03-12,24,41
2016-03-19,23,48
2016-03-26,23,44
2016-04-02,24,40
2016-04-09,24,41
2016-04-16,44,40
2016-04-23,33,41
2016-04-30,26,40
2016-05-07,23,53
2016-05-14,23,41
2016-05-21,24,37
2016-05-28,25,39
2016-06-04,23,42
2016-06-11,21,48
2016-06-18,48,50
2016-06-25,32,44
2016-07-02,24,44
2016-07-09,22,45
2016-07-16,22,58
2016-07-23,22,51
2016-07-30,21,46
2016-08-06,20,40
2016-08-13,20,58
2016-08-20,21,39
2016-08-27,31,55
2016-09-03,26,39
2016-09-10,22,35
2016-09-17,33,53
